CATEGORIES,,,,,,
cat_idx,cat_code,cat_desc,cat_indent,,,
1,RATE,Rate,0,,,
2,ESTIMATE,Housing Inventory Estimate,0,,,
,,,,,,
,,,,,,
DATA TYPES,,,,,,
dt_idx,dt_code,dt_desc,dt_unit,,,
1,RVR,Rental Vacancy Rate,PCT,,,
2,HVR,Homeowner Vacancy Rate,PCT,,,
3,HOR,Homeownership Rate,PCT,,,
4,SAHOR,Seasonally Adjusted Homeownership Rate,PCT,,,
5,TOTAL,Total Housing Units,K,,,
6,OCC,Occupied Housing Units,K,,,
7,OWNOCC,Owner Occupied Housing Units,K,,,
8,RNTOCC,Renter Occupied Housing Units,K,,,
9,VACANT,Vacant Housing Units,K,,,
10,YRVAC,Year-Round Vacant Housing Units,K,,,
11,SEASON,Seasonal Housing Units,K,,,
12,RENT,Vacant Housing Units for Rent,K,,,
13,SALE,Vacant Housing Units for Sale,K,,,
14,RNTSLD,Vacant Housing Units Rented or Sold but not Yet Occupied,K,,,
15,OFFMAR,Vacant Housing Units Held Off the Market,K,,,
16,OCCUSE,Vacant Housing Units Held Off the Market and For Occasional Use,K,,,
17,URE,Vacant Housing Units Held Off the Market and Usual Residence Elsewhere,K,,,
18,OTH,Vacant Housing Units Held Off the Market and Vacant for Other Reasons,K,,,
,,,,,,
,,,,,,
ERROR TYPES,,,,,,
et_idx,err_code,err_desc,err_unit,,,
1,E_HOR,Confidence Interval for Homeownership Rate,PCT,,,
2,E_RVR,Confidence Interval for Rental Vacancy Rate,PCT,,,
3,E_HVR,Confidence Interval for Homeowner Vacancy Rate,PCT,,,
,,,,,,
,,,,,,
GEO LEVELS,,,,,,
geo_idx,geo_code,geo_desc,,,,
1,US,United States,,,,
2,NE,Northeast,,,,
3,MW,Midwest,,,,
4,SO,South,,,,
5,WE,West,,,,
,,,,,,
,,,,,,
TIME PERIODS,,,,,,
per_idx,per_name,,,,,
1,Q1-1956,,,,,
2,Q2-1956,,,,,
3,Q3-1956,,,,,
4,Q4-1956,,,,,
5,Q1-1957,,,,,
6,Q2-1957,,,,,
7,Q3-1957,,,,,
8,Q4-1957,,,,,
9,Q1-1958,,,,,
10,Q2-1958,,,,,
11,Q3-1958,,,,,
12,Q4-1958,,,,,
13,Q1-1959,,,,,
14,Q2-1959,,,,,
15,Q3-1959,,,,,
16,Q4-1959,,,,,
17,Q1-1960,,,,,
18,Q2-1960,,,,,
19,Q3-1960,,,,,
20,Q4-1960,,,,,
21,Q1-1961,,,,,
22,Q2-1961,,,,,
23,Q3-1961,,,,,
24,Q4-1961,,,,,
25,Q1-1962,,,,,
26,Q2-1962,,,,,
27,Q3-1962,,,,,
28,Q4-1962,,,,,
29,Q1-1963,,,,,
30,Q2-1963,,,,,
31,Q3-1963,,,,,
32,Q4-1963,,,,,
33,Q1-1964,,,,,
34,Q2-1964,,,,,
35,Q3-1964,,,,,
36,Q4-1964,,,,,
37,Q1-1965,,,,,
38,Q2-1965,,,,,
39,Q3-1965,,,,,
40,Q4-1965,,,,,
41,Q1-1966,,,,,
42,Q2-1966,,,,,
